isu,full_name,telegram,score
100041,Lebedev Sofia Andreevich,@student_100041,41
100042,Vasiliev Ksenia Alexandrovich,@student_100042,16
100043,Popov Ivan Petrovich,@student_100043,9
100044,Morozov Elena Sergeevna,@student_100044,46
100045,Fedorov Dmitry Andreevna,@student_100045,50
100046,Lebedev Dmitry Mikhailovich,@student_100046,70
100047,Sokolov Artem Sergeevich,@student_100047,38
100048,Smirnov Mikhail Sergeevna,@student_100048,63
100049,Novikov Nikita Mikhailovna,@student_100049,8
100050,Popov Alexey Alexandrovich,@student_100050,97
100051,Popov Victoria Mikhailovich,@student_100051,70
100052,Vasiliev Andrey Dmitrievna,@student_100052,97
100053,Smirnov Polina Dmitrievich,@student_100053,72
100054,Morozov Artem Dmitrievna,@student_100054,27
100055,Petrov Petr Mikhailovich,@student_100055,91
100056,Petrov Egor Sergeevna,@student_100056,20
100057,Fedorov Mikhail Alexandrovna,@student_100057,58
100058,Mikhailov Dmitry Mikhailovich,@student_100058,86
100059,Ivanov Polina Mikhailovich,@student_100059,72
100060,Novikov Artem Alexandrovich,@student_100060,63
100061,Sidorov Maria Petrovich,@student_100061,65
100062,Novikov Petr Dmitrievna,@student_100062,41
100063,Morozov Ivan Sergeevich,@student_100063,49
100064,Sidorov Mikhail Sergeevna,@student_100064,14
100065,Fedorov Alexey Sergeevich,@student_100065,59
100066,Morozov Dmitry Alexandrovich,@student_100066,93
100067,Lebedev Maria Mikhailovich,@student_100067,35
100068,Novikov Maria Alexandrovich,@student_100068,2
100069,Sidorov Anastasia Andreevich,@student_100069,48
100070,Sokolov Polina Ivanovich,@student_100070,8
100071,Kuznetsov Egor Sergeevna,@student_100071,49
100072,Vasiliev Victoria Sergeevich,@student_100072,57
100073,Mikhailov Egor Alexandrovna,@student_100073,26
100074,Lebedev Mikhail Ivanovna,@student_100074,52
100075,Volkov Artem Dmitrievich,@student_100075,2
100076,Popov Ksenia Ivanovich,@student_100076,90
100077,Mikhailov Alexey Alexandrovich,@student_100077,55
100078,Kuznetsov Alexey Sergeevna,@student_100078,67
100079,Petrov Andrey Dmitrievich,@student_100079,66
100080,Fedorov Elena Mikhailovna,@student_100080,77
100081,Kuznetsov Alexey Petrovna,@student_100081,92
100082,Lebedev Sergey Dmitrievich,@student_100082,3
100083,Sidorov Maria Ivanovna,@student_100083,37
100084,Kuznetsov Ksenia Mikhailovich,@student_100084,81
100085,Lebedev Mikhail Sergeevich,@student_100085,96
100086,Novikov Andrey Petrovna,@student_100086,52
100087,Alekseev Andrey Mikhailovna,@student_100087,94
100088,Sidorov Dmitry Ivanovna,@student_100088,4
100089,Kuznetsov Artem Mikhailovna,@student_100089,100
100090,Sidorov Alina Petrovich,@student_100090,75
100091,Volkov Alina Dmitrievich,@student_100091,90
100092,Petrov Anna Mikhailovich,@student_100092,31
100093,Ivanov Polina Alexandrovich,@student_100093,66
100094,Vasiliev Nikita Andreevna,@student_100094,9
100095,Morozov Elena Andreevich,@student_100095,26
100096,Ivanov Victoria Mikhailovna,@student_100096,24
100097,Ivanov Alexey Ivanovich,@student_100097,83
100098,Alekseev Dmitry Dmitrievna,@student_100098,18
100099,Popov Maria Dmitrievna,@student_100099,88
100100,Ivanov Dmitry Dmitrievich,@student_100100,31
100101,Lebedev Polina Alexandrovich,@student_100101,98
100102,Sokolov Anna Mikhailovich,@student_100102,14
100103,Lebedev Ivan Sergeevich,@student_100103,23
100104,Kuznetsov Alexey Ivanovich,@student_100104,68
100105,Lebedev Alexey Alexandrovich,@student_100105,51
100106,Alekseev Sofia Dmitrievna,@student_100106,58
100107,Vasiliev Dmitry Andreevna,@student_100107,81
100108,Ivanov Elena Petrovich,@student_100108,74
100109,Volkov Alexey Mikhailovich,@student_100109,12
100110,Mikhailov Victoria Petrovich,@student_100110,40
100111,Lebedev Mikhail Petrovich,@student_100111,49
100112,Sokolov Sofia Alexandrovich,@student_100112,96
100113,Sokolov Andrey Mikhailovna,@student_100113,93
100114,Sokolov Ivan Petrovna,@student_100114,56
100115,Sidorov Daria Alexandrovna,@student_100115,10
100116,Fedorov Alexey Dmitrievna,@student_100116,42
100117,Ivanov Anastasia Sergeevich,@student_100117,60
100118,Sidorov Victoria Dmitrievna,@student_100118,81
100119,Vasiliev Egor Petrovna,@student_100119,79
100120,Volkov Ivan Sergeevna,@student_100120,11
100121,Kuznetsov Ksenia Dmitrievich,@student_100121,80
100122,Vasiliev Sergey Alexandrovich,@student_100122,53
100123,Morozov Daria Mikhailovna,@student_100123,87
100124,Morozov Daria Alexandrovich,@student_100124,41
100125,Petrov Nikita Andreevna,@student_100125,43
100126,Petrov Sofia Mikhailovna,@student_100126,87
100127,Kuznetsov Egor Ivanovna,@student_100127,25
100128,Kuznetsov Sergey Mikhailovna,@student_100128,75
100129,Volkov Ksenia Mikhailovna,@student_100129,10
100130,Alekseev Petr Mikhailovich,@student_100130,60
100131,Popov Alexey Sergeevich,@student_100131,83
100132,Kuznetsov Mikhail Andreevna,@student_100132,14
100133,Alekseev Victoria Petrovna,@student_100133,16
100134,Sidorov Andrey Petrovna,@student_100134,15
100135,Vasiliev Alexey Ivanovna,@student_100135,2
100136,Fedorov Petr Sergeevich,@student_100136,17
100137,Volkov Petr Mikhailovich,@student_100137,59
100138,Sokolov Sofia Alexandrovna,@student_100138,39
100139,Volkov Mikhail Mikhailovna,@student_100139,50
100140,Morozov Alina Alexandrovna,@student_100140,85
100141,Mikhailov Ivan Mikhailovich,@student_100141,18
100142,Alekseev Sergey Dmitrievich,@student_100142,25
100143,Novikov Maria Mikhailovna,@student_100143,42
100144,Kuznetsov Ivan Ivanovich,@student_100144,37
100145,Alekseev Anna Andreevna,@student_100145,10
100146,Petrov Ksenia Petrovich,@student_100146,5
100147,Vasiliev Victoria Sergeevna,@student_100147,10
100148,Volkov Ksenia Alexandrovna,@student_100148,91
100149,Smirnov Anastasia Alexandrovich,@student_100149,81
100150,Mikhailov Polina Petrovna,@student_100150,64
100151,Novikov Polina Dmitrievna,@student_100151,13
100152,Volkov Anna Alexandrovich,@student_100152,51
100153,Lebedev Alina Alexandrovna,@student_100153,46
100154,Morozov Nikita Sergeevna,@student_100154,64
100155,Smirnov Andrey Ivanovich,@student_100155,14
100156,Vasiliev Egor Sergeevich,@student_100156,42
100157,Novikov Sergey Alexandrovich,@student_100157,37
100158,Sokolov Nikita Dmitrievna,@student_100158,33
100159,Vasiliev Nikita Sergeevich,@student_100159,69
100160,Smirnov Andrey Alexandrovna,@student_100160,95
100161,Fedorov Victoria Alexandrovna,@student_100161,48
100162,Morozov Mikhail Mikhailovich,@student_100162,54
100163,Lebedev Ksenia Mikhailovich,@student_100163,65
100164,Smirnov Ksenia Ivanovna,@student_100164,53
100165,Morozov Daria Petrovich,@student_100165,29
100166,Sidorov Elena Ivanovich,@student_100166,20
100167,Mikhailov Sofia Ivanovna,@student_100167,86
100168,Alekseev Alexey Mikhailovna,@student_100168,62
100169,Novikov Petr Petrovna,@student_100169,73
100170,Mikhailov Petr Ivanovna,@student_100170,94
100171,Fedorov Alexey Mikhailovna,@student_100171,96
100172,Sidorov Ksenia Andreevich,@student_100172,59
100173,Vasiliev Polina Mikhailovna,@student_100173,80
100174,Alekseev Victoria Petrovich,@student_100174,25
100175,Fedorov Maria Ivanovich,@student_100175,9
100176,Sokolov Daria Sergeevich,@student_100176,17
100177,Petrov Maria Ivanovich,@student_100177,57
100178,Sokolov Egor Sergeevna,@student_100178,52
100179,Fedorov Polina Andreevna,@student_100179,80
100180,Sokolov Egor Dmitrievich,@student_100180,60
100181,Sidorov Victoria Alexandrovna,@student_100181,12
100182,Morozov Alexey Dmitrievna,@student_100182,8
100183,Sokolov Sofia Dmitrievna,@student_100183,42
100184,Alekseev Polina Sergeevich,@student_100184,67
100185,Fedorov Mikhail Dmitrievna,@student_100185,90
100186,Volkov Polina Petrovna,@student_100186,27
100187,Morozov Nikita Ivanovna,@student_100187,31
100188,Kuznetsov Dmitry Mikhailovna,@student_100188,14
100189,Petrov Victoria Ivanovna,@student_100189,44
100190,Morozov Nikita Petrovich,@student_100190,73
100191,Sidorov Maria Mikhailovna,@student_100191,94
100192,Popov Polina Petrovna,@student_100192,48
100193,Sidorov Nikita Sergeevna,@student_100193,99
100194,Ivanov Elena Alexandrovna,@student_100194,96
100195,Vasiliev Alexey Dmitrievich,@student_100195,85
100196,Alekseev Daria Petrovich,@student_100196,12
100197,Sokolov Maria Ivanovich,@student_100197,69
100198,Mikhailov Ivan Petrovich,@student_100198,45
100199,Fedorov Ksenia Mikhailovich,@student_100199,29
100200,Lebedev Egor Alexandrovich,@student_100200,44
100201,Ivanov Mikhail Ivanovna,@student_100201,92
100202,Morozov Polina Ivanovna,@student_100202,11
100203,Popov Anastasia Ivanovich,@student_100203,88
100204,Fedorov Andrey Dmitrievna,@student_100204,84
100205,Ivanov Alexey Sergeevna,@student_100205,100
100206,Ivanov Sofia Petrovich,@student_100206,65
100207,Novikov Petr Sergeevna,@student_100207,90
100208,Volkov Ivan Dmitrievich,@student_100208,24
100209,Vasiliev Alexey Alexandrovna,@student_100209,78
100210,Volkov Dmitry Ivanovich,@student_100210,91
100211,Kuznetsov Sofia Andreevna,@student_100211,3
100212,Ivanov Ivan Sergeevich,@student_100212,5
100213,Volkov Daria Mikhailovna,@student_100213,80
100214,Lebedev Sergey Alexandrovich,@student_100214,85
100215,Smirnov Petr Sergeevna,@student_100215,80
100216,Lebedev Victoria Petrovich,@student_100216,77
100217,Volkov Sofia Alexandrovna,@student_100217,84
100218,Vasiliev Ivan Mikhailovich,@student_100218,20
100219,Petrov Alexey Sergeevna,@student_100219,50
100220,Mikhailov Elena Ivanovna,@student_100220,63
100221,Petrov Alina Mikhailovich,@student_100221,15
100222,Volkov Elena Ivanovich,@student_100222,19
100223,Ivanov Andrey Petrovich,@student_100223,71
100224,Sokolov Anastasia Dmitrievna,@student_100224,61
100225,Sokolov Petr Ivanovich,@student_100225,62
100226,Ivanov Ivan Dmitrievich,@student_100226,89
100227,Vasiliev Elena Andreevich,@student_100227,17
100228,Popov Petr Dmitrievna,@student_100228,18
100229,Popov Anastasia Petrovna,@student_100229,46
100230,Mikhailov Polina Dmitrievich,@student_100230,64
100231,Alekseev Maria Mikhailovich,@student_100231,14
100232,Smirnov Victoria Ivanovna,@student_100232,30
100233,Vasiliev Maria Ivanovna,@student_100233,70
100234,Smirnov Daria Mikhailovich,@student_100234,95
100235,Sidorov Alexey Mikhailovich,@student_100235,51
100236,Fedorov Artem Andreevna,@student_100236,47
100237,Petrov Alexey Mikhailovna,@student_100237,13
100238,Lebedev Andrey Petrovich,@student_100238,30
100239,Novikov Artem Dmitrievna,@student_100239,61
100240,Vasiliev Daria Mikhailovna,@student_100240,41
100241,Sidorov Artem Alexandrovna,@student_100241,21
100242,Lebedev Maria Petrovna,@student_100242,32
100243,Alekseev Ivan Alexandrovich,@student_100243,42
100244,Sokolov Egor Sergeevich,@student_100244,22
100245,Petrov Maria Alexandrovich,@student_100245,57
100246,Mikhailov Elena Ivanovna,@student_100246,65
100247,Mikhailov Sofia Petrovna,@student_100247,31
100248,Smirnov Polina Alexandrovich,@student_100248,55
100249,Sidorov Artem Ivanovna,@student_100249,63
100250,Sokolov Nikita Mikhailovna,@student_100250,51
100251,Volkov Elena Ivanovna,@student_100251,89
100252,Petrov Victoria Alexandrovna,@student_100252,50
100253,Morozov Anna Dmitrievich,@student_100253,80
100254,Smirnov Mikhail Ivanovna,@student_100254,84
100255,Popov Egor Ivanovich,@student_100255,11
100256,Ivanov Petr Andreevna,@student_100256,85
100257,Volkov Petr Petrovich,@student_100257,28
100258,Mikhailov Mikhail Mikhailovich,@student_100258,17
100259,Fedorov Mikhail Ivanovich,@student_100259,75
100260,Alekseev Ivan Mikhailovich,@student_100260,83
100261,Fedorov Alina Andreevich,@student_100261,37
100262,Fedorov Dmitry Dmitrievich,@student_100262,60
100263,Fedorov Alexey Ivanovna,@student_100263,36
100264,Sokolov Anastasia Petrovich,@student_100264,100
100265,Vasiliev Polina Andreevich,@student_100265,31
100266,Morozov Sofia Sergeevich,@student_100266,71
100267,Morozov Nikita Andreevna,@student_100267,64
100268,Popov Ivan Sergeevna,@student_100268,21
100269,Morozov Anna Mikhailovich,@student_100269,16
100270,Fedorov Dmitry Andreevich,@student_100270,84
100271,Alekseev Anastasia Mikhailovna,@student_100271,56
100272,Smirnov Ksenia Alexandrovna,@student_100272,100
100273,Novikov Alexey Ivanovna,@student_100273,45
100274,Volkov Nikita Alexandrovich,@student_100274,8
100275,Volkov Polina Ivanovich,@student_100275,43
100276,Sokolov Egor Andreevna,@student_100276,15
100277,Kuznetsov Dmitry Dmitrievich,@student_100277,91
100278,Lebedev Ivan Petrovna,@student_100278,23
100279,Sidorov Andrey Sergeevich,@student_100279,49
100280,Lebedev Maria Dmitrievna,@student_100280,49
100281,Ivanov Petr Dmitrievich,@student_100281,24
100282,Volkov Ksenia Alexandrovna,@student_100282,64
100283,Mikhailov Daria Andreevich,@student_100283,67
100284,Morozov Polina Petrovna,@student_100284,5
100285,Fedorov Nikita Dmitrievna,@student_100285,54
100286,Alekseev Mikhail Mikhailovna,@student_100286,85
100287,Kuznetsov Egor Ivanovna,@student_100287,77
100288,Fedorov Alina Andreevich,@student_100288,50
100289,Vasiliev Victoria Alexandrovich,@student_100289,59
100290,Petrov Alina Andreevich,@student_100290,34
100291,Mikhailov Egor Alexandrovna,@student_100291,53
100292,Sokolov Alexey Ivanovich,@student_100292,40
100293,Lebedev Victoria Petrovna,@student_100293,63
100294,Popov Dmitry Ivanovich,@student_100294,34
100295,Kuznetsov Dmitry Dmitrievich,@student_100295,2
100296,Novikov Victoria Sergeevna,@student_100296,45
100297,Vasiliev Mikhail Petrovich,@student_100297,60
100298,Mikhailov Ivan Andreevich,@student_100298,28
100299,Sidorov Elena Ivanovna,@student_100299,64
100300,Fedorov Anastasia Alexandrovna,@student_100300,62
100301,Alekseev Egor Mikhailovna,@student_100301,76
100302,Novikov Victoria Ivanovna,@student_100302,72
100303,Kuznetsov Anastasia Petrovna,@student_100303,78
100304,Vasiliev Alina Petrovich,@student_100304,11
100305,Sokolov Elena Alexandrovna,@student_100305,44
100306,Novikov Maria Mikhailovna,@student_100306,66
100307,Vasiliev Anastasia Petrovich,@student_100307,99
100308,Sidorov Andrey Alexandrovna,@student_100308,74
100309,Lebedev Elena Petrovna,@student_100309,34
100310,Ivanov Alexey Alexandrovich,@student_100310,4
100311,Sokolov Polina Mikhailovna,@student_100311,49
100312,Alekseev Anastasia Andreevna,@student_100312,46
100313,Kuznetsov Anastasia Dmitrievich,@student_100313,41
100314,Petrov Polina Sergeevna,@student_100314,8
100315,Smirnov Maria Ivanovna,@student_100315,81
100316,Smirnov Victoria Mikhailovich,@student_100316,83
100317,Smirnov Ivan Ivanovich,@student_100317,37
100318,Lebedev Ivan Andreevich,@student_100318,11
100319,Alekseev Sofia Dmitrievna,@student_100319,72
100320,Novikov Polina Ivanovich,@student_100320,87
100321,Morozov Elena Andreevich,@student_100321,80
100322,Popov Ivan Andreevna,@student_100322,23
100323,Petrov Daria Dmitrievich,@student_100323,86
100324,Vasiliev Ivan Mikhailovna,@student_100324,51
100325,Smirnov Sofia Ivanovna,@student_100325,2
100326,Morozov Artem Sergeevna,@student_100326,90
100327,Novikov Sofia Dmitrievich,@student_100327,24
100328,Vasiliev Alina Ivanovna,@student_100328,35
100329,Morozov Alina Andreevna,@student_100329,30
100330,Fedorov Maria Mikhailovich,@student_100330,40
100331,Petrov Andrey Ivanovna,@student_100331,89
100332,Volkov Dmitry Sergeevna,@student_100332,8
100333,Fedorov Mikhail Mikhailovich,@student_100333,72
100334,Vasiliev Ksenia Ivanovna,@student_100334,100
100335,Novikov Andrey Dmitrievna,@student_100335,41
100336,Mikhailov Alexey Petrovich,@student_100336,58
100337,Sidorov Anastasia Alexandrovna,@student_100337,70
100338,Morozov Maria Ivanovich,@student_100338,39
100339,Sokolov Victoria Dmitrievich,@student_100339,50
100340,Popov Alexey Petrovich,@student_100340,36
100341,Petrov Petr Alexandrovich,@student_100341,20
100342,Mikhailov Ivan Alexandrovich,@student_100342,45
100343,Lebedev Daria Andreevna,@student_100343,34
100344,Vasiliev Artem Andreevna,@student_100344,96
100345,Lebedev Polina Ivanovna,@student_100345,54
100346,Lebedev Andrey Alexandrovich,@student_100346,90
100347,Popov Sergey Ivanovna,@student_100347,32
100348,Alekseev Victoria Alexandrovich,@student_100348,53
100349,Lebedev Elena Dmitrievich,@student_100349,59
100350,Novikov Sofia Ivanovich,@student_100350,30
100351,Volkov Sergey Alexandrovich,@student_100351,32
100352,Sidorov Dmitry Alexandrovich,@student_100352,88
100353,Ivanov Andrey Ivanovich,@student_100353,56
100354,Smirnov Polina Petrovna,@student_100354,79
100355,Novikov Artem Andreevna,@student_100355,48
100356,Lebedev Anastasia Petrovna,@student_100356,68
100357,Smirnov Ksenia Sergeevna,@student_100357,91
100358,Kuznetsov Polina Mikhailovich,@student_100358,18
100359,Sidorov Maria Alexandrovich,@student_100359,10
100360,Vasiliev Sofia Alexandrovich,@student_100360,96
100361,Morozov Anna Mikhailovna,@student_100361,43
100362,Sidorov Ivan Mikhailovna,@student_100362,96
100363,Morozov Alexey Alexandrovich,@student_100363,4
100364,Ivanov Sergey Petrovna,@student_100364,6
100365,Lebedev Egor Dmitrievich,@student_100365,52
100366,Morozov Mikhail Ivanovich,@student_100366,5
100367,Volkov Alexey Petrovna,@student_100367,38
100368,Morozov Petr Andreevna,@student_100368,70
100369,Vasiliev Sergey Mikhailovna,@student_100369,30
100370,Sokolov Nikita Dmitrievich,@student_100370,42
100371,Sidorov Ivan Alexandrovich,@student_100371,11
100372,Vasiliev Alina Sergeevich,@student_100372,0
100373,Petrov Anna Dmitrievich,@student_100373,49
100374,Ivanov Mikhail Andreevich,@student_100374,43
100375,Mikhailov Polina Mikhailovich,@student_100375,84
100376,Sokolov Andrey Dmitrievich,@student_100376,32
100377,Mikhailov Sergey Andreevna,@student_100377,48
100378,Volkov Sofia Alexandrovich,@student_100378,23
100379,Morozov Mikhail Dmitrievich,@student_100379,93
100380,Sokolov Ivan Mikhailovich,@student_100380,46
100381,Volkov Elena Sergeevich,@student_100381,15
100382,Novikov Ivan Alexandrovich,@student_100382,13
100383,Ivanov Victoria Petrovich,@student_100383,0
100384,Alekseev Dmitry Alexandrovna,@student_100384,3
100385,Sidorov Alexey Sergeevna,@student_100385,62
100386,Sokolov Sergey Petrovich,@student_100386,57
100387,Smirnov Maria Sergeevna,@student_100387,85
100388,Sokolov Ivan Dmitrievich,@student_100388,86
100389,Sokolov Daria Mikhailovich,@student_100389,16
100390,Alekseev Polina Mikhailovna,@student_100390,86
100391,Kuznetsov Andrey Dmitrievich,@student_100391,92
100392,Mikhailov Egor Mikhailovna,@student_100392,60
100393,Alekseev Anastasia Petrovich,@student_100393,36
100394,Morozov Ksenia Sergeevich,@student_100394,32
100395,Mikhailov Polina Petrovich,@student_100395,60
100396,Kuznetsov Sergey Ivanovna,@student_100396,41
100397,Novikov Mikhail Alexandrovna,@student_100397,7
100398,Volkov Ivan Dmitrievna,@student_100398,34
100399,Popov Ivan Sergeevna,@student_100399,16
100400,Novikov Elena Alexandrovna,@student_100400,71
100401,Kuznetsov Elena Alexandrovna,@student_100401,32
100402,Petrov Alina Sergeevich,@student_100402,59
100403,Smirnov Alexey Dmitrievna,@student_100403,14
100404,Fedorov Sofia Ivanovich,@student_100404,17
100405,Morozov Anna Petrovich,@student_100405,100
100406,Smirnov Ivan Andreevna,@student_100406,1
100407,Mikhailov Anastasia Petrovna,@student_100407,59
100408,Popov Alexey Petrovna,@student_100408,90
100409,Petrov Alina Andreevich,@student_100409,54
100410,Sidorov Daria Sergeevich,@student_100410,27
100411,Fedorov Petr Mikhailovich,@student_100411,60
100412,Petrov Andrey Alexandrovich,@student_100412,67
100413,Lebedev Ksenia Sergeevich,@student_100413,1
100414,Ivanov Maria Sergeevich,@student_100414,23
100415,Volkov Alina Alexandrovna,@student_100415,25
100416,Novikov Daria Sergeevich,@student_100416,55
100417,Sokolov Nikita Dmitrievna,@student_100417,68
100418,Sokolov Elena Dmitrievna,@student_100418,57
100419,Kuznetsov Polina Dmitrievna,@student_100419,99
100420,Sidorov Artem Andreevna,@student_100420,51
100421,Lebedev Ivan Ivanovich,@student_100421,80
100422,Popov Anna Andreevich,@student_100422,41
100423,Lebedev Petr Dmitrievna,@student_100423,89
100424,Novikov Nikita Sergeevich,@student_100424,68
100425,Sokolov Alexey Andreevich,@student_100425,97
100426,Smirnov Dmitry Sergeevna,@student_100426,20
100427,Alekseev Alina Mikhailovna,@student_100427,92
100428,Smirnov Sergey Alexandrovich,@student_100428,47
100429,Alekseev Elena Sergeevna,@student_100429,88
100430,Novikov Nikita Andreevich,@student_100430,52
100431,Petrov Elena Sergeevna,@student_100431,73
100432,Mikhailov Polina Mikhailovna,@student_100432,57
100433,Vasiliev Alexey Dmitrievna,@student_100433,91
100434,Fedorov Alina Andreevna,@student_100434,80
100435,Sokolov Petr Ivanovich,@student_100435,20
100436,Vasiliev Elena Mikhailovich,@student_100436,2
100437,Smirnov Anastasia Mikhailovna,@student_100437,38
100438,Volkov Elena Mikhailovna,@student_100438,89
100439,Novikov Nikita Petrovna,@student_100439,32
100440,Popov Daria Ivanovna,@student_100440,58
100441,Popov Artem Ivanovich,@student_100441,60
100442,Mikhailov Victoria Ivanovna,@student_100442,47
100443,Petrov Dmitry Alexandrovich,@student_100443,38
100444,Popov Nikita Dmitrievna,@student_100444,13
100445,Kuznetsov Dmitry Alexandrovich,@student_100445,69
100446,Ivanov Mikhail Ivanovich,@student_100446,96
100447,Fedorov Sergey Sergeevich,@student_100447,9
100448,Sokolov Polina Petrovna,@student_100448,88
100449,Popov Andrey Mikhailovich,@student_100449,20
100450,Lebedev Dmitry Mikhailovich,@student_100450,52
100451,Ivanov Egor Mikhailovich,@student_100451,26
100452,Petrov Ivan Ivanovich,@student_100452,48
100453,Petrov Anastasia Dmitrievich,@student_100453,65
100454,Fedorov Egor Andreevna,@student_100454,11
100455,Smirnov Andrey Petrovich,@student_100455,29
100456,Kuznetsov Polina Alexandrovich,@student_100456,88
100457,Morozov Victoria Petrovich,@student_100457,99
100458,Novikov Anastasia Alexandrovich,@student_100458,96
100459,Mikhailov Petr Andreevich,@student_100459,13
100460,Lebedev Mikhail Dmitrievich,@student_100460,55
100461,Vasiliev Petr Alexandrovna,@student_100461,85
100462,Morozov Daria Andreevich,@student_100462,54
100463,Sokolov Dmitry Petrovich,@student_100463,25
100464,Vasiliev Dmitry Petrovich,@student_100464,86
100465,Popov Maria Ivanovna,@student_100465,74
100466,Morozov Andrey Alexandrovna,@student_100466,37
100467,Volkov Artem Petrovich,@student_100467,76
100468,Ivanov Polina Ivanovich,@student_100468,20
100469,Novikov Victoria Andreevich,@student_100469,12
100470,Smirnov Alina Dmitrievna,@student_100470,10
100471,Popov Andrey Sergeevich,@student_100471,85
100472,Novikov Dmitry Sergeevna,@student_100472,41
100473,Ivanov Artem Sergeevich,@student_100473,24
100474,Alekseev Elena Petrovich,@student_100474,85
100475,Mikhailov Alina Dmitrievna,@student_100475,34
100476,Mikhailov Anna Dmitrievna,@student_100476,25
100477,Kuznetsov Sergey Alexandrovich,@student_100477,16
100478,Ivanov Victoria Petrovich,@student_100478,89
100479,Ivanov Polina Alexandrovich,@student_100479,52
100480,Kuznetsov Egor Mikhailovich,@student_100480,53
100481,Popov Anna Alexandrovna,@student_100481,43
100482,Popov Alexey Andreevich,@student_100482,12
100483,Sidorov Anastasia Petrovich,@student_100483,48
100484,Volkov Anastasia Sergeevich,@student_100484,16
100485,Popov Maria Mikhailovna,@student_100485,20
100486,Sidorov Andrey Andreevna,@student_100486,3
100487,Popov Alexey Sergeevich,@student_100487,92
100488,Ivanov Mikhail Andreevna,@student_100488,61
100489,Petrov Egor Mikhailovna,@student_100489,40
100490,Sokolov Anna Sergeevna,@student_100490,18
100491,Volkov Anastasia Petrovich,@student_100491,82
100492,Volkov Elena Andreevich,@student_100492,47
100493,Volkov Dmitry Alexandrovna,@student_100493,92
100494,Fedorov Mikhail Ivanovna,@student_100494,5
100495,Alekseev Mikhail Ivanovich,@student_100495,80
100496,Novikov Daria Ivanovich,@student_100496,75
100497,Novikov Polina Alexandrovna,@student_100497,21
100498,Smirnov Victoria Ivanovna,@student_100498,44
100499,Kuznetsov Daria Dmitrievna,@student_100499,0
100500,Mikhailov Anastasia Dmitrievich,@student_100500,28
100501,Alekseev Petr Andreevich,@student_100501,46
100502,Morozov Alexey Mikhailovich,@student_100502,15
100503,Morozov Daria Mikhailovich,@student_100503,39
100504,Sidorov Victoria Sergeevna,@student_100504,32
100505,Vasiliev Elena Dmitrievna,@student_100505,46
100506,Kuznetsov Sofia Sergeevna,@student_100506,60
100507,Petrov Egor Petrovna,@student_100507,95
100508,Sokolov Mikhail Ivanovna,@student_100508,17
100509,Petrov Sofia Mikhailovna,@student_100509,85
100510,Mikhailov Ivan Mikhailovna,@student_100510,45
100511,Kuznetsov Alina Dmitrievna,@student_100511,75
100512,Kuznetsov Anastasia Mikhailovich,@student_100512,53
100513,Morozov Sofia Sergeevich,@student_100513,30
100514,Popov Victoria Dmitrievna,@student_100514,36
100515,Morozov Elena Andreevich,@student_100515,40
100516,Alekseev Maria Sergeevich,@student_100516,72
100517,Mikhailov Anna Dmitrievna,@student_100517,91
100518,Kuznetsov Artem Sergeevich,@student_100518,65
100519,Vasiliev Mikhail Sergeevna,@student_100519,41
100520,Vasiliev Artem Dmitrievich,@student_100520,12
